Customer_ID,Gender,Age,Tenure_Months,Contract_Type,Payment_Method,Customer_Segment,Monthly_Charges,Total_Charges,Churn
CUST0199,Male,32,8,Month-to-Month,Credit Card,Adult,61.38,504.25,No
CUST0200,Male,64,11,Month-to-Month,UPI,Senior,83.57,941.55,No
CUST0201,Male,39,51,Month-to-Month,Electronic Check,Adult,131.74,6209.12,No
CUST0202,Female,31,41,One Year,UPI,Adult,97.0,4356.38,No
CUST0203,Male,43,17,Month-to-Month,Credit Card,Adult,110.3,1757.69,No
CUST0204,Male,45,46,One Year,Credit Card,Adult,67.41,3066.92,No
CUST0205,Female,40,32,Two Year,Electronic Check,Adult,116.01,3703.5,Yes
CUST0206,Male,31,54,Month-to-Month,Bank Transfer,Adult,106.66,6120.27,No
CUST0207,Female,41,20,Two Year,Electronic Check,Adult,35.54,653.83,Yes
CUST0208,Female,19,33,Month-to-Month,UPI,Young,94.44,3072.04,No
CUST0209,Female,62,40,Two Year,UPI,Senior,53.38,2190.08,Yes
CUST0210,Male,43,32,One Year,Electronic Check,Adult,124.53,3757.94,Yes
CUST0211,Male,31,2,Two Year,UPI,Adult,75.37,154.58,Yes
CUST0212,Male,68,33,Month-to-Month,Bank Transfer,Senior,149.31,5344.73,No
CUST0213,Male,24,30,Month-to-Month,Bank Transfer,Young,32.03,1056.51,Yes
CUST0214,Male,20,33,Month-to-Month,Credit Card,Young,121.45,3633.08,No
CUST0215,Male,64,26,Month-to-Month,Electronic Check,Senior,107.58,2649.16,Yes
CUST0216,Male,40,22,Month-to-Month,Electronic Check,Adult,119.77,2534.97,No
CUST0217,Female,63,66,Month-to-Month,Electronic Check,Senior,59.98,3878.81,Yes
CUST0218,Male,60,38,Month-to-Month,UPI,Senior,83.97,3026.38,No
CUST0219,Female,64,46,Month-to-Month,Electronic Check,Senior,123.55,5346.27,No
CUST0220,Male,62,15,Two Year,UPI,Senior,50.23,821.95,Yes
CUST0221,Male,35,44,Month-to-Month,Electronic Check,Adult,49.38,2354.59,No
CUST0222,Male,55,49,Month-to-Month,Credit Card,Senior,91.64,4083.53,No
CUST0223,Female,52,61,Month-to-Month,Bank Transfer,Senior,88.06,5198.49,Yes
CUST0224,Female,68,67,Month-to-Month,UPI,Senior,56.69,3726.18,No
CUST0225,Female,32,6,Two Year,Electronic Check,Adult,58.75,334.1,No
CUST0226,Female,42,9,Month-to-Month,Credit Card,Adult,56.12,518.1,No
CUST0227,Male,54,6,One Year,Credit Card,Senior,120.3,742.07,Yes
CUST0228,Female,45,32,Two Year,Electronic Check,Adult,104.75,3586.98,No
CUST0229,Male,27,41,Two Year,Electronic Check,Young,128.21,5509.84,No
CUST0230,Male,56,8,One Year,Credit Card,Senior,146.81,1184.48,No
CUST0231,Female,34,72,Two Year,Credit Card,Adult,81.64,6058.64,No
CUST0232,Female,56,50,Two Year,Bank Transfer,Senior,28.67,1368.7,No
CUST0233,Female,39,62,One Year,Credit Card,Adult,26.25,1657.79,No
CUST0234,Female,43,62,One Year,Credit Card,Adult,58.44,3615.47,No
CUST0235,Female,61,7,One Year,Credit Card,Senior,141.23,916.11,Yes
CUST0236,Female,42,4,Month-to-Month,Bank Transfer,Adult,88.02,333.95,No
CUST0237,Female,34,6,One Year,UPI,Adult,55.33,318.15,No
CUST0238,Female,30,58,Month-to-Month,Credit Card,Adult,71.89,4523.46,Yes
CUST0239,Male,37,22,Month-to-Month,Bank Transfer,Adult,97.82,2036.0,No
CUST0240,Female,42,26,Month-to-Month,Electronic Check,Adult,104.88,2611.94,Yes
CUST0241,Female,21,3,Month-to-Month,Credit Card,Young,40.01,116.89,Yes
CUST0242,Male,27,41,Month-to-Month,Electronic Check,Young,147.01,6224.8,No
CUST0243,Female,20,60,Month-to-Month,Credit Card,Young,90.82,5033.14,No
CUST0244,Male,58,14,One Year,Bank Transfer,Senior,37.64,574.8,Yes
CUST0245,Male,62,12,Month-to-Month,UPI,Senior,136.17,1753.51,Yes
CUST0246,Female,35,12,Two Year,Electronic Check,Adult,29.7,361.9,No
CUST0247,Male,64,13,Month-to-Month,Bank Transfer,Senior,138.01,1856.58,Yes
CUST0248,Male,53,25,Month-to-Month,Credit Card,Senior,149.55,3377.33,No
CUST0249,Male,64,45,One Year,Electronic Check,Senior,111.06,4836.72,No
CUST0250,Male,39,19,One Year,Electronic Check,Adult,120.16,2418.04,No
CUST0251,Female,51,55,Month-to-Month,Electronic Check,Senior,63.85,3215.0,Yes
CUST0252,Male,64,45,Two Year,Electronic Check,Senior,142.4,6129.01,No
CUST0253,Female,25,8,Two Year,Electronic Check,Young,88.86,723.01,No
CUST0254,Male,57,53,Month-to-Month,Electronic Check,Senior,115.21,5808.66,No
CUST0255,Male,66,55,Month-to-Month,Electronic Check,Senior,140.13,8376.1,Yes
CUST0256,Male,61,32,Two Year,Bank Transfer,Senior,146.77,4350.08,No
CUST0257,Male,36,51,One Year,Credit Card,Adult,128.32,6933.57,No
CUST0258,Female,59,44,Month-to-Month,UPI,Senior,59.39,2617.31,No
CUST0259,Female,58,70,Two Year,Credit Card,Senior,145.65,10705.95,No
CUST0260,Male,54,18,Month-to-Month,Bank Transfer,Senior,101.66,1760.61,Yes
CUST0261,Male,23,22,Month-to-Month,UPI,Young,140.98,3110.55,Yes
CUST0262,Female,69,37,Month-to-Month,Bank Transfer,Senior,107.89,4276.82,No
CUST0263,Male,43,56,One Year,Credit Card,Adult,59.94,3334.4,No
CUST0264,Male,51,59,One Year,Bank Transfer,Senior,68.1,3905.17,No
CUST0265,Male,62,3,One Year,Electronic Check,Senior,91.56,276.67,Yes
CUST0266,Female,23,28,Month-to-Month,Electronic Check,Young,122.7,3584.95,Yes
CUST0267,Female,54,35,Month-to-Month,Credit Card,Senior,61.34,2122.67,Yes
CUST0268,Female,50,61,Month-to-Month,Credit Card,Senior,95.37,6328.21,Yes
CUST0269,Male,70,54,One Year,Electronic Check,Senior,64.93,3362.43,No
CUST0270,Male,39,63,Month-to-Month,UPI,Adult,126.05,7902.18,No
CUST0271,Female,38,7,Month-to-Month,Bank Transfer,Adult,80.67,593.71,Yes
CUST0272,Female,23,49,Two Year,Credit Card,Young,29.97,1524.08,No
CUST0273,Female,23,31,Month-to-Month,UPI,Young,41.59,1383.06,Yes
CUST0274,Female,65,58,Two Year,Credit Card,Senior,27.94,1781.54,No
CUST0275,Male,21,61,Month-to-Month,UPI,Young,84.91,5103.74,Yes
CUST0276,Female,47,24,One Year,Credit Card,Adult,33.82,748.56,No
CUST0277,Male,28,20,Month-to-Month,Electronic Check,Young,34.84,631.36,No
CUST0278,Female,47,37,Two Year,Bank Transfer,Adult,142.34,5505.55,No
CUST0279,Male,48,4,Month-to-Month,Bank Transfer,Adult,133.45,573.73,No
CUST0280,Female,41,20,Month-to-Month,Bank Transfer,Adult,78.77,1487.4,No
CUST0281,Female,26,60,Month-to-Month,UPI,Young,148.15,8281.79,No
CUST0282,Female,20,24,Month-to-Month,Bank Transfer,Young,20.02,438.41,Yes
CUST0283,Female,68,50,Month-to-Month,Bank Transfer,Senior,99.82,5313.12,No
CUST0284,Male,48,49,Two Year,UPI,Adult,,4721.76,No
CUST0285,Female,57,51,Month-to-Month,Bank Transfer,Senior,79.47,3973.29,Yes
CUST0286,Male,54,36,One Year,Credit Card,Senior,71.6,2579.02,No
CUST0287,Male,53,66,One Year,UPI,Senior,79.2,5582.08,No
CUST0288,Male,41,34,One Year,Electronic Check,Adult,73.94,2589.8,No
CUST0289,Male,48,36,Month-to-Month,Bank Transfer,Adult,114.96,4233.8,No
CUST0290,Female,23,6,Month-to-Month,UPI,Young,37.6,210.97,No
CUST0291,Male,19,39,One Year,Bank Transfer,Young,45.69,1786.61,No
CUST0292,Male,37,42,Two Year,Bank Transfer,Adult,43.47,1904.39,No
CUST0293,Male,45,58,Month-to-Month,Bank Transfer,Adult,54.12,3436.07,No
CUST0294,Female,28,12,Month-to-Month,Credit Card,Young,88.28,996.1,No
CUST0295,Female,21,3,Month-to-Month,UPI,Young,34.46,93.24,No
CUST0296,Female,32,18,Two Year,Electronic Check,Adult,132.86,2188.35,No
CUST0297,Female,23,40,Month-to-Month,Electronic Check,Young,58.66,2288.14,No
CUST0298,Male,66,21,Month-to-Month,Electronic Check,Senior,41.13,919.1,No
CUST0299,Male,47,15,Two Year,Credit Card,Adult,107.83,1458.02,No
CUST0300,Female,55,26,Month-to-Month,Credit Card,Senior,24.95,643.09,No
CUST0301,Male,68,8,Month-to-Month,UPI,Senior,100.6,777.31,Yes
CUST0302,Male,19,42,One Year,Credit Card,Young,110.77,4235.94,Yes
CUST0303,Male,32,44,Two Year,Credit Card,Adult,47.94,2088.37,No
CUST0304,Female,28,14,Month-to-Month,Electronic Check,Young,25.46,338.96,No
CUST0305,Female,25,2,Month-to-Month,Credit Card,Young,67.27,130.55,Yes
CUST0306,Male,43,37,Month-to-Month,Bank Transfer,Adult,32.82,1264.28,Yes
CUST0307,Female,68,69,Month-to-Month,Electronic Check,Senior,35.14,2435.11,No
CUST0308,Female,62,38,One Year,Electronic Check,Senior,53.05,1864.57,Yes
CUST0309,Female,61,41,Month-to-Month,Electronic Check,Senior,58.41,2615.81,Yes
CUST0310,Female,22,62,Month-to-Month,Electronic Check,Young,88.9,5661.62,No
CUST0311,Female,23,60,Month-to-Month,Credit Card,Young,108.19,6836.57,No
CUST0312,Male,43,14,One Year,Electronic Check,Adult,97.06,1244.48,No
CUST0313,Female,21,2,Month-to-Month,Bank Transfer,Young,39.29,71.46,No
CUST0314,Male,36,70,Two Year,UPI,Adult,42.37,2680.85,No
CUST0315,Male,37,17,Month-to-Month,Credit Card,Adult,134.24,2140.04,Yes
CUST0316,Female,50,28,Two Year,UPI,Senior,92.59,2548.14,No
CUST0317,Male,37,66,Two Year,Credit Card,Adult,133.09,9549.59,No
CUST0318,Male,66,35,Month-to-Month,Credit Card,Senior,68.3,2369.97,No
CUST0319,Male,29,5,Month-to-Month,UPI,Young,99.87,478.4,Yes
CUST0320,Female,64,65,Month-to-Month,Electronic Check,Senior,88.08,5796.12,No
CUST0321,Female,18,40,Month-to-Month,UPI,Young,61.49,2268.7,Yes
CUST0322,Male,43,56,Month-to-Month,Electronic Check,Adult,81.09,4640.49,No
CUST0323,Female,31,36,Month-to-Month,Credit Card,Adult,85.32,3113.56,Yes
CUST0324,Female,55,45,Month-to-Month,Electronic Check,Senior,46.1,2195.65,No
CUST0325,Female,54,23,Two Year,Bank Transfer,Senior,60.95,1538.3,No
CUST0326,Female,28,47,Month-to-Month,Bank Transfer,Young,122.88,5487.6,Yes
CUST0327,Male,53,31,Two Year,Bank Transfer,Senior,139.05,4318.87,No
CUST0328,Male,30,11,Month-to-Month,Credit Card,Adult,66.77,794.53,No
CUST0329,Female,60,10,Two Year,Credit Card,Senior,59.91,633.27,No
CUST0330,Female,20,67,One Year,Electronic Check,Young,45.38,3032.8,No
CUST0331,Male,50,14,Month-to-Month,Electronic Check,Senior,108.2,1649.73,No
CUST0332,Male,23,10,One Year,UPI,Young,62.0,565.1,No
CUST0333,Female,67,1,Month-to-Month,Credit Card,Senior,148.41,161.2,Yes
CUST0334,Male,27,5,Month-to-Month,UPI,Young,62.34,283.68,Yes
CUST0335,Female,22,20,Two Year,UPI,Young,71.24,1438.28,No
CUST0336,Female,40,8,Month-to-Month,Credit Card,Adult,98.43,848.93,No
CUST0337,Male,27,43,Month-to-Month,Bank Transfer,Young,124.22,5087.98,No
CUST0338,Male,61,1,One Year,Electronic Check,Senior,81.04,80.59,Yes
